Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,season,game_id
26.0,Sat,2024-02-24,20:45,Genoa,Udinese,1.3,0.3,2–0,2023-2024,249
26.0,Sun,2024-02-25,12:30,Juventus,Frosinone,2.0,0.4,3–2,2023-2024,250
26.0,Sun,2024-02-25,15:00,Cagliari,Napoli,0.7,1.3,1–1,2023-2024,251
26.0,Sun,2024-02-25,18:00,Lecce,Inter,1.0,2.9,0–4,2023-2024,252
26.0,Sun,2024-02-25,20:45,Milan,Atalanta,1.3,1.1,1–1,2023-2024,253
26.0,Mon,2024-02-26,18:30,Roma,Torino,1.4,0.6,3–2,2023-2024,254
26.0,Mon,2024-02-26,20:45,Fiorentina,Lazio,2.5,0.3,2–1,2023-2024,255
21.0,Wed,2024-02-28,18:00,Sassuolo,Napoli,0.3,2.7,1–6,2023-2024,256
21.0,Wed,2024-02-28,20:45,Inter,Atalanta,2.0,0.3,4–0,2023-2024,257
27.0,Fri,2024-03-01,20:45,Lazio,Milan,1.3,1.0,0–1,2023-2024,258
27.0,Sat,2024-03-02,15:00,Udinese,Salernitana,1.8,1.1,1–1,2023-2024,259
27.0,Sat,2024-03-02,18:00,Monza,Roma,0.9,1.8,1–4,2023-2024,260
27.0,Sat,2024-03-02,20:45,Torino,Fiorentina,0.6,0.6,0–0,2023-2024,261
27.0,Sun,2024-03-03,12:30,Hellas Verona,Sassuolo,0.4,0.5,1–0,2023-2024,262
27.0,Sun,2024-03-03,15:00,Frosinone,Lecce,1.3,1.2,1–1,2023-2024,263
27.0,Sun,2024-03-03,15:00,Empoli,Cagliari,1.4,0.6,0–1,2023-2024,264
27.0,Sun,2024-03-03,18:00,Atalanta,Bologna,1.4,1.3,1–2,2023-2024,265
27.0,Sun,2024-03-03,20:45,Napoli,Juventus,2.1,1.6,2–1,2023-2024,266
27.0,Mon,2024-03-04,20:45,Inter,Genoa,1.8,0.8,2–1,2023-2024,267
28.0,Fri,2024-03-08,20:45,Napoli,Torino,1.6,0.9,1–1,2023-2024,268
28.0,Sat,2024-03-09,15:00,Cagliari,Salernitana,3.3,0.9,4–2,2023-2024,269
28.0,Sat,2024-03-09,15:00,Sassuolo,Frosinone,0.6,1.3,1–0,2023-2024,270
28.0,Sat,2024-03-09,18:00,Bologna,Inter,0.6,0.9,0–1,2023-2024,271
28.0,Sat,2024-03-09,20:45,Genoa,Monza,2.1,1.7,2–3,2023-2024,272
28.0,Sun,2024-03-10,12:30,Lecce,Hellas Verona,1.0,0.6,0–1,2023-2024,273
28.0,Sun,2024-03-10,15:00,Milan,Empoli,0.8,0.2,1–0,2023-2024,274
28.0,Sun,2024-03-10,18:00,Juventus,Atalanta,1.3,0.5,2–2,2023-2024,275
